# X, Y, Z, V, Ex, Ey, Ez
-0.035 0 0 499.947 0 0 0
-0.034 0 0 499.949 0 0 0
-0.033 0 0 499.952 0 0 0
-0.032 0 0 499.958 0 0 0
-0.031 0 0 499.966 0 0 0
-0.03 0 0 499.976 0 0 0
-0.029 0 0 499.988 0 0 0
-0.028 0 0 500 0 0 0
-0.027 0 0 500 0 0 0
-0.026 0 0 501.755 0 0 0
-0.025 0 0 503.569 0 0 0
-0.024 0 0 505.427 0 0 0
-0.023 0 0 507.32 0 0 0
-0.022 0 0 509.238 0 0 0
-0.021 0 0 511.17 0 0 0
-0.02 0 0 513.105 0 0 0
-0.019 0 0 515.032 0 0 0
-0.018 0 0 516.941 0 0 0
-0.017 0 0 518.819 0 0 0
-0.016 0 0 520.658 0 0 0
-0.015 0 0 522.445 0 0 0
-0.014 0 0 524.17 0 0 0
-0.013 0 0 525.825 0 0 0
-0.012 0 0 527.399 0 0 0
-0.011 0 0 528.883 0 0 0
-0.01 0 0 530.269 0 0 0
-0.009 0 0 531.549 0 0 0
-0.008 0 0 532.716 0 0 0
-0.007 0 0 533.762 0 0 0
-0.006 0 0 534.682 0 0 0
-0.005 0 0 535.47 0 0 0
-0.004 0 0 536.122 0 0 0
-0.003 0 0 536.633 0 0 0
-0.002 0 0 537 0 0 0
-0.001 0 0 537.222 0 0 0
0 0 0 537.296 0 0 0
0.001 0 0 537.222 0 0 0
0.002 0 0 537.001 0 0 0
0.003 0 0 536.634 0 0 0
0.004 0 0 536.123 0 0 0
0.005 0 0 535.471 0 0 0
0.006 0 0 534.683 0 0 0
0.007 0 0 533.763 0 0 0
0.008 0 0 532.716 0 0 0
0.009 0 0 531.55 0 0 0
0.01 0 0 530.27 0 0 0
0.011 0 0 528.884 0 0 0
0.012 0 0 527.4 0 0 0
0.013 0 0 525.827 0 0 0
0.014 0 0 524.173 0 0 0
0.015 0 0 522.448 0 0 0
0.016 0 0 520.661 0 0 0
0.017 0 0 518.824 0 0 0
0.018 0 0 516.945 0 0 0
0.019 0 0 515.037 0 0 0
0.02 0 0 513.11 0 0 0
0.021 0 0 511.175 0 0 0
0.022 0 0 509.243 0 0 0
0.023 0 0 507.324 0 0 0
0.024 0 0 505.43 0 0 0
0.025 0 0 503.572 0 0 0
0.026 0 0 501.758 0 0 0
0.027 0 0 500 0 0 0
0.028 0 0 500 0 0 0
0.029 0 0 499.988 0 0 0
0.03 0 0 499.976 0 0 0
0.031 0 0 499.966 0 0 0
0.032 0 0 499.958 0 0 0
0.033 0 0 499.952 0 0 0
0.034 0 0 499.949 0 0 0
0.035 0 0 499.947 0 0 0
-0.035 0 0.001 499.947 0 0 0
-0.034 0 0.001 499.949 -2.42724 0.0294639 0.156141
-0.033 0 0.001 499.952 -4.78827 0.0236544 0.142807
-0.032 0 0.001 499.958 -7.01135 0.0308788 0.124102
-0.031 0 0.001 499.966 -8.98586 0.0210631 0.0992102
-0.03 0 0.001 499.976 -10.6484 0.0152575 0.0701782
-0.029 0 0.001 499.988 -11.888 0.00946232 0.035209
-0.028 0 0.001 500 -12.469 0.00013148 0.000130578
-0.027 0 0.001 500 -890.657 0 0
-0.026 0 0.001 501.762 -1795.04 -0.0266905 -14.3893
-0.025 0 0.001 503.583 -1843.68 -0.0607375 -29.2855
-0.024 0 0.001 505.449 -1883.55 -0.0982387 -44.5526
-0.023 0 0.001 507.35 -1913.42 -0.135667 -60.103
-0.022 0 0.001 509.276 -1932.79 -0.170797 -75.8462
-0.021 0 0.001 511.216 -1941.38 -0.202041 -91.6931
-0.02 0 0.001 513.159 -1939.02 -0.22576 -107.555
-0.019 0 0.001 515.094 -1925.64 -0.240611 -123.342
-0.018 0 0.001 517.01 -1901.25 -0.237892 -138.967
-0.017 0 0.001 518.896 -1865.96 -0.222978 -154.341
-0.016 0 0.001 520.742 -1819.96 -0.191886 -169.379
-0.015 0 0.001 522.536 -1763.52 -0.140798 -183.995
